D,R_tail_ref,R_tail_grid,C_inf_linear,EE_WLS_linear,EE_systematic_linear,C_inf_quadratic,EE_WLS_quadratic,EE_systematic_quadratic,Delta_model_C_inf,Delta_model_abs_C_inf,EE_total_linear,EE_full_linear,EE_total_quadratic,R2_linear,R2_quadratic
-163,1000000,1000000;2000000;3000000,0.15605239821729253,6.32792472508812e-05,0.0005298244404051133,0.16009943578548402,0.0015496182187520649,0.014362644437459465,0.004047037568191497,0.004047037568191497,0.0005335899181798975,0.004082062135629072,0.014445998472268148,0.3688266928194899,0.3899813504238775
-67,1000000,1000000;2000000;3000000,0.24129718863820868,0.00010689337765426726,0.0004014357077197217,0.24790986084954736,0.002620586255964083,0.004560179433361289,0.006612672211338683,0.006612672211338683,0.00041542366521272187,0.006625708309020976,0.0052595350354759625,0.9928331671749271,0.9930579096552151
-43,1000000,1000000;2000000;3000000,0.30346910482082223,0.0001400189493771948,0.0013031930320267504,0.32555424987235915,0.0031120578179824184,0.0018649630692343933,0.022085145051536914,0.022085145051536914,0.0013106934748093348,0.02212400391729158,0.0036280836693871406,0.9943134488269133,0.9954727100865124
-19,1000000,1000000;2000000;3000000,0.47318524539370793,0.00020847400068384916,0.001054683068449469,0.4907783760934885,0.005039197291390569,0.01138368155617886,0.01759313069978058,0.01759313069978058,0.0010750896631607602,0.017625948644070112,0.01244916523763922,0.9942163369593671,0.9945538502981537
-11,1000000,1000000;2000000;3000000,0.6507083824085074,0.0002805535784630863,0.0013882763961642341,0.672809024756359,0.0068084711056488195,0.016481775893993245,0.022100642347851585,0.022100642347851585,0.0014163409414880291,0.02214597963175678,0.017832672694138466,0.9917901745656069,0.9922076371895895
-8,1000000,1000000;2000000;3000000,0.6920676162950297,7.036868380775172e-05,0.001398353808836239,0.7116696494935496,0.0010577689225754953,0.011585069252784685,0.01960203319851994,0.01960203319851994,0.001400123253984324,0.019651973199712684,0.011633258558348286,0.9996565275152274,0.9998749215841349
-7,1000000,1000000;2000000;3000000,0.43148511233631115,0.00018587867560855887,0.0007857148698500183,0.44319709401331053,0.004554220991632874,0.005305673950173562,0.011711981676999383,0.011711981676999383,0.0008074024639233044,0.011739779109553924,0.006992217452724125,0.9939106645682123,0.9941087611579188
-4,1000000,1000000;2000000;3000000,0.7350324819819152,6.443918245219267e-05,0.0012587983822416327,0.7546568950779566,0.0007864030690393746,0.007851117273412478,0.01962441309604146,0.01962441309604146,0.0012604466570899614,0.019664849735999836,0.007890403806388512,0.9996778907497718,0.9999226854517828
-3,1000000,1000000;2000000;3000000,0.5660054456931966,6.511005556164974e-05,0.0010735381122165544,0.5825328271215366,0.0011142802286711454,0.008883510235041858,0.016527381428340093,0.016527381428340093,0.001075510761320743,0.016562338611306005,0.0089531209376452,0.9993782736412574,0.9997065327332032
